수업번호,설강학과,과목명,시간,비고
22887,전자공학부,전자기학1,"수 10:30-12:00, 목 10:30-12:00",폐강
24613,전자공학부,전자회로1,"원 14:30-16:00, 수 15:00-16:30",폐강
22137,교통물류공학과,대중교통,*,폐강
24106,전자공학부,전자공학연구실심화실습1(이방욱 교수님),*,폐강
24134,전자공학부,전자공학연구실심화실습3(이방욱 교수님),*,폐강
20145,ERICA대학,개척과보존을위한해양융합,*,폐강
20086,ERICA대학,영화의이해,금 11:00-13:00,폐강
22824,전자공학부,고급전자물리,"월 10:30-12:00, 목 16:-17:30",폐강
23069,컴퓨터전공,딥러닝,*,폐강
24315,컴퓨터전공,컴퓨터공학연구실심화실습1,*,폐강
24330,컴퓨터전공,컴퓨터공학연구실심화실습3,*,폐강
24344,컴퓨터전공,컴퓨터캡스톤디자인2,*,폐강
24295,소프트웨어학부,IC-PBL과비전설계,*,폐강
24553,미디어테크놀로지전공,3D게임프로젝트설계,*,폐강
24404,미디어테크놀로지전공,창의캡스톤디자인1,*,폐강
22725,국방정보학과,통신시스템1,*,폐강
20264,ERICA대학,긍정컴퓨팅을통한인간과인공지능의공존,*,폐강