수업번호,설강학과,과목명,변경 전 시간,변경 후 시간
23014,응용물리학과,정보소자물리,"화 13:00-14:30, 금 13:00-14:30","화 13:00-14:30, 금 14:30-16:00"
22049,기계공학과,기계공학입문설계,"화 11:00-13:00, 목 17:00-19:00","화 09:00-11:00, 목 13:00-15:00"
20008,ERICA 대학,실용중국어,수 15:00-17:00,화 09:00-11:00
23548,보험계리학과,계리프로그래밍1,화 13:00-16:00,수 15:00-18:00
22179,건축학전공,친환경스마트빌딩시스템,"목 13:00-14:30, 금 14:30-16:00",목 13:00-16:00
22171,건축학전공,건축CAD,목 09:00-12:00,화 09:00-12:00
24741,건축학전공,건축구조의기본,"월 15:00-16:30, 수 10:30-12:00",목 09:00-12:00
22152,건축학전공,구조시스템1,금 10:00-13:00,금 09:00-12:00
22149,건축학전공,디지털모델링1,금 13:30-17:30,금 13:00-17:00
23873,건축학전공,디지털모델링1,금 18:00-22:00,금 17:30-21:30
23479,건축학부,건축개론,"월 13:00-14:30, 화 13:00-14:30","월16:00-17:30, 화 16:00-17:30"
23480,건축학부,건축개론,"월 13:00-14:30, 화 14:30-16:00","수 10:30-12:00, 금 10:30-12:00"
22159,건축학전공,건축설계7,"월 13:30-14:30, 화14:30-16:00","월 14:30-19:30, 목 14:30-19:30"
20233,ERICA 대학,AI+X:인공지능,월 09:00-11:00,화 09:00-11:00
23246,나노광전자학과,전자회로및제어,"월 15:00-16:30, 목 14:30-16:00","월 10:30-12:00, 목 14:30-16:00"
23458,산업경영공학과,산업경영공학개론,"월 15:00-16:30, 수 15:00-16:30","월 16:00-17:30, 수 15:00-16:30"
22575,로봇공학과,이산수학,"월 10:30-12:00, 목 09:00-10:30","월 14:30-16:00, 목 10:30-12:00"
23206,응용물리학과,물리공작실험,목 14:30-18:30,목 15:00-19:00
23974,기계공학과,기계설계,"화 09:00-10:30, 화 13:00-14:30","화 09:00-10:30, 수 10:30-12:00"
23975,기계공학과,기계설계,"수 10:30-12:00, 수 15:00-16:30","화 13:00-14:30, 수 15:00-16:30"
23845,스마트융합공학부,건축도면의이해,월 16:00-19:00,월 17:00-20:00
23474,교통물류학과,대학화학,"월 15:00-16:30, 수 10:30-12:00","수 10:30-12:00, 수 16:30-18:00"